1358510,"['Buck, Dan', 'Decastro, Lavinia', 'Janas, Steve']","['Brand, Mike']",NA,NA
1663634,"['Carelli, Daniele', 'Mori, Carla']","['Bergmann, Maura Morales']",NA,NA
0423518,NA,NA,NA,NA
1943877,NA,"['Matsui, K\xc3\xb4']",NA,NA
0335013,"['Altman, Robert', 'Astrachan, Joshua', 'Barclay, Jane', 'Campbell, Neve', 'Dubrinsky, Lowell', 'Harel, Sharon', 'Hayes, Jocelyn', 'Jonas, Stefan', 'Koffler, Pamela', 'Leader, Hannah', 'Levy, David', 'Ley, David', 'McCarthy, Karyn', 'McCord, Jonas', 'Meyer, Dieter', 'Pellegrino, Roland', 'Sloss, John', 'Vachon, Christine', 'Wells, John']","['Dunn, Andrew']",NA,NA
0951286,"['Bethea, James', 'Cannon, Phyllis', 'Ghanizada, Soraya', 'Jarvis, Andrea', 'Johnston, Gerry', 'Kingsley, Seth', 'Ruiz, Antonio P.', 'Seacrest, Ryan', 'Smith, Shaun D.', 'Snegaroff, Gary']",NA,NA,NA
1144084,"['Obadigie, Sylvester']",NA,NA,NA
1986868,NA,NA,NA,NA
0068606,NA,"['de Almeida, Ac\xc3\xa1cio']",NA,NA
0149312,NA,"['Gill, Fran\xc3\xa7ois']",NA,NA
1414163,"['Howard, Amanda']","['Aitos, Aki']",NA,NA
0284133,NA,NA,NA,NA
0123796,"['Barclay, David', 'Gore, Terry', 'Oliver, Chris']","['Ryan, Ellery']",NA,NA
1155592,"['Chinn, Simon', 'Fay, Liz', 'Fraser, Nick', 'Gregory, Victoria', 'Hewes, Jonathan', 'Klein, Richard', 'Meditch, Andrea', 'Ryan, Maureen A.']","['Martinovic, Igor']",NA,NA
0084109,"['Matthau, Charles', 'McCallum, Rick', 'Ross, Herbert', 'Rothstein, Roger M.', 'Simon, Neil']","['Walsh, David M.']",NA,NA
1795691,"['Lee, Janay']","['Wahl, Eric A.']",NA,NA
0127746,"['Borr\xc3\xa1s, Victoria', 'Romero, Rosa']","['Mar\xc3\xadn, Paco']",NA,NA
1433553,"['Buntjer, Jennifer', 'Ceccarelli, Luca', 'von Meppen, Jan', 'von Stern, Joseph']","['Rotunno, Eddie Rio']",NA,NA
1649426,NA,"['Vidoris, Pavlos']",NA,NA
0095134,"['Altissimi, Bruno', 'Gori, Mario Cecchi', 'Gori, Vittorio Cecchi', 'Saraceni, Claudio']","[""D'Offizi, Sergio""]",NA,NA
0441301,"['de Leon, Narcisa']","['Abelardo, Bayani']",NA,NA
1485040,"['Ebiye, Wilson', 'Holmes, Cecil', 'Jr., Pearl']","['Holmes, Cecil']",NA,NA
0193729,NA,NA,NA,NA
0097057,"['Carter, Deborah', 'Pickard, Th\xc3\xa9r\xc3\xa8se']","['Lehel, Jason']",NA,NA
0387467,"['Aarskog, Bj\xc3\xb8rn Eivind', 'Allan, Bill', 'Deutschman, Yvonne', 'Dickson, Kwesi', 'Dwyer, Finola', 'Evans, Keith', 'Ferrell, Shelaagh', 'Hammond, Mark', 'Hayter, Emma', 'Hunnes, Ola K.', 'Hunt, Claire', 'Langeland, Solveig', 'Neale, Colin', 'Powell, Nik', 'Trijbits, Paul']","['Rosenlund, John Christian']",NA,NA
0422263,"['Sera, Eric Alan']",NA,NA,NA
0896724,NA,NA,NA,NA
0131156,"['Drust, Gy\xc3\xb6rgy', 'Komj\xc3\xa1ti, Ferenc', 'Sz\xc3\xa9chy, Attila']",NA,NA,NA
0492194,NA,NA,NA,NA
0395458,NA,NA,NA,NA
1538872,NA,"['Labous, Andre']",NA,NA
0031396,NA,"['Dahlqvist, \xc3\x85ke']",NA,NA
0257907,"['Carvalho, Jos\xc3\xa9 F.', 'da Costa, Jos\xc3\xa9 Cordeiro']","['Fraga, Marcial Afonso', 'Freund, Edward']",NA,NA
0334439,NA,NA,NA,NA
1699128,"['Fiorini, Ivan', 'Procacci, Domenico']","['Radovic, Vladan']",NA,NA
1891835,"['Udy, Brendon']","['Bibby, Graeme E.']",NA,NA
0260164,"['Mosser, Russell A.', 'Wolf, Arthur H.']","['Stuewe, Norman']",NA,NA
0092656,"['Carmody, Don', 'Kraft, Gene', 'Ransohoff, Martin', 'Turtle, Jon']","['Bode, Ralf D.']",NA,NA
